"Phage"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"P-value"	"Adjusted p-value"
"1"	"DAS_Check_Bin_01_k119_52890:3-7823"	1111.46529652513	7.29600969532086	0.763304086496704	9.55845753270754	1.19524751322146e-21	5.54237213020566e-20
"2"	"DAS_Check_Bin_04_k119_45471:3-6042"	2546.41133456455	8.6164061515584	0.588933385057555	14.6305276117372	1.79390592841628e-48	3.91270815275683e-46
"3"	"DAS_Check_Bin_05_k119_130417:3-6978"	1289.57318056663	3.27873843369698	0.725737773489906	4.51780044179081	6.24853314672945e-06	3.17494492675494e-05
"4"	"DAS_Check_Bin_05_k119_142867:3-8447"	1233.6150897683	2.93517435644886	0.840738728633225	3.49118490261597	0.000480883324097506	0.00146148065271622
"5"	"DAS_Check_Bin_05_k119_21561:3-26171"	7846.0127657464	3.32054932341379	0.742712409936455	4.47084130948867	7.79124955688689e-06	3.84921716782776e-05
"6"	"DAS_Check_Bin_05_k119_74520:3-8293"	1421.73111134587	3.40293993969218	0.80037531789466	4.25168026001029	2.12172634027484e-05	9.23913303830147e-05
"7"	"DAS_Check_Bin_06_k119_148245:3-9204"	457.24761316843	1.77713184082645	0.45821214084585	3.87840408930655	0.000105143964223364	0.000376409000189296
"8"	"DAS_Check_Bin_06_k119_27553:3-9849"	360.188705999542	1.25630617410992	0.538375031436106	2.33351493058426	0.0196211356288237	0.0386709731319085
"9"	"DAS_Check_Bin_06_k119_57090:3-4666"	84.3341058313163	1.60284730355254	0.714464172774059	2.24342572326495	0.0248693746572146	0.0477365538971111
"10"	"DAS_Check_Bin_06_k119_90920:3-4117"	335.399015537607	7.10707920810519	1.14773109750406	6.1922860011032	5.92978286052904e-10	7.84730140801248e-09
"11"	"DAS_Check_Bin_09_k119_41989:3-49450"	19640.4976632818	5.09439479221431	0.327232149461863	15.5681365678529	1.19848111171717e-54	3.20811603041018e-52
"12"	"DAS_Check_Bin_11_k119_41511:3-9519"	1341.91341611673	5.65075167272102	0.57787699794896	9.77846789676184	1.39303209259616e-22	7.07203964939552e-21
"13"	"DAS_Check_Bin_13_k119_113569:3-4635"	392.512269367147	2.32320781011481	0.619898154888287	3.74772499610598	0.000178445745021977	0.000601182489951042
"14"	"DAS_Check_Bin_19_k119_34040:3-7740"	39.1742773443916	2.1224414203697	0.825473721979781	2.57117987387815	0.0101352670019696	0.0218392196760332
"15"	"DAS_Check_Bin_19_k119_91042:3-12868"	64.8862499980565	2.79333019406219	0.712218369058565	3.92201369048443	8.78120014184275e-05	0.000319805118338355
"16"	"DAS_Check_Bin_24_k119_105560:3-2585"	38.3596888268627	7.52300281438646	1.79056530340988	4.20146799452661	2.65189742929064e-05	0.000111949992552635
"17"	"DAS_Check_Bin_24_k119_14522:3-5031"	693.631450352516	3.85633041002399	0.764600454497498	5.04358895857367	4.56880208721857e-07	3.26720286754907e-06
"18"	"DAS_Check_Bin_25_k119_164646:46-5102"	8.5242094940745	6.26009379548011	2.60154912662416	2.40629466936239	0.0161152602837709	0.0325455307994263
"19"	"DAS_Check_Bin_25_k119_72698:3-6380"	907.828377630034	8.67628401768766	0.669123105700887	12.9666483547889	1.89120683213497e-38	3.01008568498455e-36
